test_num,num_features,neighbours,distance_metric,scaled,accuracy,train_t,test_t
2,1,45,manhattan,true,0.042,2.285,3.596
2,1,50,manhattan,true,0.042,2.359,4.092
3,10,5,euclidean,false,0.060,2.149,2.354
3,10,10,euclidean,false,0.062,2.276,2.931
3,10,15,euclidean,false,0.063,2.453,3.997
3,10,20,euclidean,false,0.063,2.327,4.049
3,10,25,euclidean,false,0.063,2.685,4.925
3,10,30,euclidean,false,0.062,2.118,4.697
3,10,35,euclidean,false,0.062,2.465,5.816
3,10,40,euclidean,false,0.062,2.026,6.226
3,10,45,euclidean,false,0.062,2.196,6.901
3,10,50,euclidean,false,0.062,2.049,7.950
3,10,5,manhattan,false,0.060,2.164,2.641
3,10,10,manhattan,false,0.062,2.042,3.005
3,10,15,manhattan,false,0.063,2.607,4.204
3,10,20,manhattan,false,0.063,2.156,5.284
3,10,25,manhattan,false,0.063,2.460,5.147
3,10,30,manhattan,false,0.062,2.049,6.560
3,10,35,manhattan,false,0.062,2.284,5.649
3,10,40,manhattan,false,0.063,1.937,7.131
3,10,45,manhattan,false,0.063,2.343,7.671
3,10,50,manhattan,false,0.063,1.934,6.873
3,10,5,euclidean,true,0.060,2.388,1.940
3,10,10,euclidean,true,0.062,2.649,3.128
3,10,15,euclidean,true,0.063,2.189,3.021
3,10,20,euclidean,true,0.063,2.774,4.778
3,10,25,euclidean,true,0.063,2.063,3.983
3,10,30,euclidean,true,0.062,2.046,4.537
3,10,35,euclidean,true,0.062,1.693,3.806
3,10,40,euclidean,true,0.062,1.723,4.485
3,10,45,euclidean,true,0.062,1.740,5.091
3,10,50,euclidean,true,0.062,1.702,5.479
3,10,5,manhattan,true,0.060,1.668,1.953
3,10,10,manhattan,true,0.062,1.652,2.380
3,10,15,manhattan,true,0.063,1.718,2.807
3,10,20,manhattan,true,0.063,1.879,3.127
3,10,25,manhattan,true,0.063,1.672,3.661
3,10,30,manhattan,true,0.062,2.029,4.258
3,10,35,manhattan,true,0.062,1.665,4.602
3,10,40,manhattan,true,0.063,1.742,4.924
3,10,45,manhattan,true,0.063,1.939,6.194
3,10,50,manhattan,true,0.063,1.722,6.536
3,7,5,euclidean,false,0.060,1.859,1.725
3,7,10,euclidean,false,0.062,1.921,2.094
3,7,15,euclidean,false,0.063,1.888,2.454
3,7,20,euclidean,false,0.063,1.877,2.751
3,7,25,euclidean,false,0.063,1.822,3.377
3,7,30,euclidean,false,0.062,1.869,3.759
3,7,35,euclidean,false,0.062,1.862,4.115
3,7,40,euclidean,false,0.062,1.843,4.742
3,7,45,euclidean,false,0.062,1.872,5.341
3,7,50,euclidean,false,0.062,1.693,5.753
3,7,5,manhattan,false,0.060,1.555,1.543
3,7,10,manhattan,false,0.062,1.466,1.970
3,7,15,manhattan,false,0.063,1.496,2.352
3,7,20,manhattan,false,0.063,1.809,3.270
3,7,25,manhattan,false,0.063,1.819,3.670
3,7,30,manhattan,false,0.063,1.788,3.874
3,7,35,manhattan,false,0.062,1.492,3.863
3,7,40,manhattan,false,0.062,1.475,4.217
3,7,45,manhattan,false,0.063,1.439,4.711
3,7,50,manhattan,false,0.062,1.812,6.348
3,7,5,euclidean,true,0.060,1.756,1.715
3,7,10,euclidean,true,0.062,1.614,2.044
3,7,15,euclidean,true,0.063,1.841,2.443
3,7,20,euclidean,true,0.063,1.737,3.006
3,7,25,euclidean,true,0.063,1.710,3.438
3,7,30,euclidean,true,0.062,1.831,3.685
3,7,35,euclidean,true,0.062,1.749,4.182
3,7,40,euclidean,true,0.062,1.459,3.859
3,7,45,euclidean,true,0.062,1.444,3.948
3,7,50,euclidean,true,0.062,1.449,4.579
3,7,5,manhattan,true,0.060,1.454,1.532
3,7,10,manhattan,true,0.062,1.698,2.273
3,7,15,manhattan,true,0.063,1.412,2.253
3,7,20,manhattan,true,0.063,1.672,3.067
3,7,25,manhattan,true,0.063,1.552,3.713
3,7,30,manhattan,true,0.063,1.632,3.997
3,7,35,manhattan,true,0.062,1.613,4.467
3,7,40,manhattan,true,0.062,1.451,4.061
3,7,45,manhattan,true,0.063,1.407,4.402
3,7,50,manhattan,true,0.062,1.411,4.852
3,4,5,euclidean,false,0.056,1.348,0.965
3,4,10,euclidean,false,0.058,1.770,1.344
3,4,15,euclidean,false,0.058,1.390,1.538
3,4,20,euclidean,false,0.059,1.356,1.826
3,4,25,euclidean,false,0.058,1.368,2.093
3,4,30,euclidean,false,0.059,1.342,2.387
3,4,35,euclidean,false,0.059,1.443,2.619
3,4,40,euclidean,false,0.059,1.348,3.170
3,4,45,euclidean,false,0.059,1.360,3.340
3,4,50,euclidean,false,0.059,1.348,3.608
3,4,5,manhattan,false,0.056,1.317,1.033
3,4,10,manhattan,false,0.058,1.332,1.353
3,4,15,manhattan,false,0.059,1.321,1.717
3,4,20,manhattan,false,0.058,1.331,2.080
3,4,25,manhattan,false,0.059,1.361,2.310
3,4,30,manhattan,false,0.059,1.366,2.636
3,4,35,manhattan,false,0.059,1.409,3.079
3,4,40,manhattan,false,0.059,1.416,3.451
3,4,45,manhattan,false,0.059,1.335,3.809
3,4,50,manhattan,false,0.059,1.465,5.366
3,4,5,euclidean,true,0.056,1.544,1.287
3,4,10,euclidean,true,0.058,1.779,1.587
3,4,15,euclidean,true,0.058,1.516,1.892
3,4,20,euclidean,true,0.059,1.717,2.152
3,4,25,euclidean,true,0.058,1.782,2.527
3,4,30,euclidean,true,0.059,1.740,2.641
3,4,35,euclidean,true,0.059,1.767,3.495
3,4,40,euclidean,true,0.059,1.379,3.224
3,4,45,euclidean,true,0.059,1.381,3.601
3,4,50,euclidean,true,0.059,1.354,4.061
3,4,5,manhattan,true,0.056,1.411,1.124
3,4,10,manhattan,true,0.058,1.380,1.373
3,4,15,manhattan,true,0.059,1.367,1.725
3,4,20,manhattan,true,0.058,1.374,1.986
3,4,25,manhattan,true,0.059,1.734,2.855
3,4,30,manhattan,true,0.059,1.984,2.857
