28858,10,26
Unknown,POP3,HTTP,MySQL,POPS,BitTorrent,IMAPS,Steam,ICMP,RDP,SSL,SSH,Facebook,Twitter,Dropbox,Skype,Google,Apple,OpenVPN,Amazon,QUIC,Starcraft,Teredo,Office365,Cloudflare,MS_OneDrive,
source_ip,source_port,dest_ip,dest_port,IP4_proto,f_dur,delta_bytes,avg_ia,min_ia,max_ia,avg_len,min_len,max_len,pkt_vel,byte_vel,application,app_num
147.232.181.0,1194,178.40.7.191,11028,UDP,140242.000000,1392,14024.200000,23.000000,67575.000000,139,64,168,71.305315,9925.699862,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11283,UDP,140154.000000,1392,14015.400000,32.000000,67638.000000,139,64,168,71.350086,9931.932018,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11029,UDP,136679.000000,1392,13667.900000,29.000000,66596.000000,139,64,168,73.164129,10184.446769,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11284,UDP,236415.000000,1392,23641.500000,34.000000,132591.000000,139,64,168,42.298501,5887.951272,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11030,UDP,136627.000000,1392,13662.700000,14.000000,67488.000000,139,64,168,73.191975,10188.322952,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11285,UDP,136006.000000,1392,13600.600000,25.000000,67845.000000,139,64,168,73.526168,10234.842580,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11031,UDP,139537.000000,1392,13953.700000,26.000000,67652.000000,139,64,168,71.665580,9975.848700,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11286,UDP,136375.000000,1392,13637.500000,28.000000,66714.000000,139,64,168,73.327223,10207.149404,Amazon,19
147.232.181.0,1194,178.40.7.191,11032,UDP,136579.000000,1392,13657.900000,7.000000,67504.000000,139,64,168,73.217698,10191.903587,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11033,UDP,2162586.000000,1304,216258.600000,2.000000,2026991.000000,130,64,168,4.624094,602.981800,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11034,UDP,139365.000000,1392,13936.500000,6.000000,67574.000000,139,64,168,71.754027,9988.160586,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11035,UDP,137496.000000,1392,13749.600000,28.000000,67685.000000,139,64,168,72.729388,10123.930878,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11036,UDP,138650.000000,1392,13865.000000,20.000000,66675.000000,139,64,168,72.124053,10039.668229,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11037,UDP,137765.000000,1392,13776.500000,26.000000,69160.000000,139,64,168,72.587377,10104.162886,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11038,UDP,138119.000000,1392,13811.900000,3.000000,66526.000000,139,64,168,72.401335,10078.265843,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11039,UDP,136852.000000,1392,13685.200000,28.000000,66825.000000,139,64,168,73.071639,10171.572209,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11040,UDP,134573.000000,1392,13457.300000,14.000000,66709.000000,139,64,168,74.309111,10343.828257,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11041,UDP,136960.000000,1392,13696.000000,24.000000,67768.000000,139,64,168,73.014019,10163.551402,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11042,UDP,138361.000000,1392,13836.100000,10.000000,67428.000000,139,64,168,72.274702,10060.638475,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11043,UDP,135974.000000,1392,13597.400000,19.000000,67457.000000,139,64,168,73.543472,10237.251239,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11044,UDP,135740.000000,1392,13574.000000,6.000000,66939.000000,139,64,168,73.670252,10254.899072,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11045,UDP,167956.000000,1392,16795.600000,3.000000,67636.000000,139,64,168,59.539403,8287.884922,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11046,UDP,136050.000000,1392,13605.000000,10.000000,67211.000000,139,64,168,73.502389,10231.532525,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11047,UDP,136683.000000,1392,13668.300000,25.000000,66552.000000,139,64,168,73.161988,10184.148724,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11048,UDP,138533.000000,1392,13853.300000,4.000000,70052.000000,139,64,168,72.184967,10048.147373,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11049,UDP,143861.000000,1392,14386.100000,5.000000,66988.000000,139,64,168,69.511542,9676.006701,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11050,UDP,2199212.000000,1112,219921.200000,26.000000,1258189.000000,111,60,168,4.547083,505.635655,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11051,UDP,138363.000000,1392,13836.300000,33.000000,68008.000000,139,64,168,72.273657,10060.493051,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11052,UDP,2351680.000000,1392,235168.000000,5.000000,2216244.000000,139,64,168,4.252279,591.917268,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11053,UDP,137398.000000,1392,13739.800000,23.000000,67274.000000,139,64,168,72.781263,10131.151836,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11308,UDP,136126.000000,1392,13612.600000,25.000000,67737.000000,139,64,168,73.461352,10225.820196,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11054,UDP,2603094.000000,1416,260309.400000,3.000000,1876222.000000,141,64,168,3.841582,543.968063,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11055,UDP,1682088.000000,1392,168208.800000,3.000000,1550637.000000,139,64,168,5.944992,827.542911,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11066,UDP,136818.000000,1392,13681.800000,27.000000,66793.000000,139,64,168,73.089798,10174.099899,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11312,UDP,138444.000000,1392,13844.400000,2.000000,68176.000000,139,64,168,72.231372,10054.606917,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11313,UDP,138684.000000,1392,13868.400000,4.000000,68228.000000,139,64,168,72.106371,10037.206888,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11314,UDP,136537.000000,1392,13653.700000,4.000000,66652.000000,139,64,168,73.240221,10195.038707,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11318,UDP,135120.000000,1392,13512.000000,7.000000,66513.000000,139,64,168,74.008289,10301.953819,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11319,UDP,139620.000000,1392,13962.000000,3.000000,67477.000000,139,64,168,71.622977,9969.918350,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11320,UDP,136726.000000,1392,13672.600000,4.000000,67939.000000,139,64,168,73.138979,10180.945833,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11321,UDP,166417.000000,1392,16641.700000,36.000000,97833.000000,139,64,168,60.090015,8364.530066,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11071,UDP,135797.000000,1392,13579.700000,30.000000,67485.000000,139,64,168,73.639329,10250.594638,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11322,UDP,147219.000000,1392,14721.900000,4.000000,74854.000000,139,64,168,67.926015,9455.301286,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11326,UDP,138354.000000,1392,13835.400000,3.000000,69766.000000,139,64,168,72.278358,10061.147491,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11072,UDP,2792655.000000,1404,279265.500000,30.000000,1316589.000000,140,64,168,3.580822,502.747386,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11327,UDP,141731.000000,1392,14173.100000,29.000000,67449.000000,139,64,168,70.556194,9821.422272,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11328,UDP,135961.000000,1392,13596.100000,15.000000,67442.000000,139,64,168,73.550503,10238.230081,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11329,UDP,136008.000000,1392,13600.800000,3.000000,67773.000000,139,64,168,73.525087,10234.692077,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11074,UDP,2608517.000000,1404,260851.700000,3.000000,1251986.000000,140,64,168,3.833596,538.236860,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11075,UDP,2462347.000000,1304,246234.700000,3.000000,2324857.000000,130,64,168,4.061166,529.576051,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11076,UDP,135876.000000,1392,13587.600000,29.000000,66221.000000,139,64,168,73.596514,10244.634814,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11077,UDP,140279.000000,1392,14027.900000,27.000000,66678.000000,139,64,168,71.286508,9923.081858,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11333,UDP,3502014.000000,1404,350201.400000,19.000000,2469520.000000,140,64,168,2.855500,400.912161,OpenVPN,18
192.88.99.1,0,147.232.191.165,0,,6257126.000000,1044,625712.600000,2.000000,3655525.000000,104,102,108,1.598178,166.849765,Unknown,0
147.232.181.0,1194,178.40.7.191,10826,UDP,12997658.000000,1560,1299765.800000,4.000000,4316095.000000,156,156,156,0.769369,120.021622,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11078,UDP,136753.000000,1392,13675.300000,6.000000,67702.000000,139,64,168,73.124538,10178.935745,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11334,UDP,3802423.000000,1300,380242.300000,3.000000,1686983.000000,130,64,168,2.629902,341.887265,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11079,UDP,142790.000000,1392,14279.000000,34.000000,66778.000000,139,64,168,70.032915,9748.581833,OpenVPN,18
